File Name,Full Path,Size (Bytes)
Ameya talwalakar.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Ameya talwalakar.jpg,981635
Deepak_Muni_.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Deepak_Muni_.jpg,64774
Sunil_Gurjar.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Sunil_Gurjar.jpeg,107517
Praveen_Rana_CasualPhoto_.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Praveen_Rana_CasualPhoto_.jpg,133637
Vijaykumar_Rai.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Vijaykumar_Rai.jpeg,82207
Ankit Singh.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Ankit Singh.jpeg,1220547
converter.py,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/converter.py,1606
Shrikant_Yadav.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Shrikant_Yadav.jpeg,20480
Chetan Pardeshi.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Chetan Pardeshi.jpg,138556
Suraj Nair.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Suraj Nair.jpg,17115
placeholder.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/placeholder.jpg,28273
Hardik_Kawa_.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Hardik_Kawa_.jpeg,169247
Swapnil Kandalkar.JPG,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Swapnil Kandalkar.JPG,1124304
files.csv,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/files.csv,0
Shivdatta Gholagi.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Shivdatta Gholagi.jpeg,681942
Dhyan Desai.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Dhyan Desai.jpg,38025
Arindam Paul.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Arindam Paul.jpg,42048
Manish Gothoskar.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Manish Gothoskar.jpg,882959
Satyam Tiwari.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Satyam Tiwari.jpeg,34706
Yash Uttamchandani.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Yash Uttamchandani.jpeg,207000
Sanket Sakpal.jpeg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/Sanket Sakpal.jpeg,86919
AKSHAY KADAM.jpg,/Users/kantesh/Downloads/atom/IPL/APLplayerAuction/backend/uploads/AKSHAY KADAM.jpg,1048388
